Sentence1,Sentence2
Can matter actually cross the event horizon effectively falling into a Black hole?,How can anything ever fall into a black hole as seen from an outside observer?
,
What are the effects of a complex refractive index?,Imaginary number for extinction coefficient in complex refractive index
,
Reference: Renormalization Group and scale invariance in statistical mechanics,Suggested reading for renormalization (not only in QFT)
,
Why can't gravity force an object past the speed of light?,Can gravity accelerate an object past the speed of light?
,
Limit to number of neutrons in nucleus,What makes the number of neutrons the number of proton similar?
,
"Acting on an object at a distance faster than light, or making small cogs immovable",Is it possible for information to be transmitted faster than light by using a rigid pole? 
,
"Do electrons in a wire, actually jump across two metallic wires twisted together?",tranfser of electrons between two metals and a wire
,
How can a 13 year old kid like me learn quantum mechanics and other advanced physics topics?,"What's the standard ""roadmap"" to learning quantum physics?"
,
What is the mechanism that restricts a body from accelerating past the speed of light?,If rest mass does not change with $v$ then why is infinite energy required to accelerate an object to the speed of light?
,
"Would visible light still be in a separate classification if we saw ""colors"" in a different wavelength?",Is there a physical reason for colors to be located in a very narrow band of the EM spectrum?
,
Equipartition theorem. Neglecting one rotational degree of freedom,"In counting degrees of freedom of a linear molecule, why is rotation about the axis not counted?"
,
Why does electron $(-)$ keep rotating round the nucleus $(+)$ even they are attracted?,"Why don't electrons crash into the nuclei they ""orbit""?"
,
Is the speed of light the speed limit or does light just happen to travel at the maximum speed?,What is so special about speed of light in vacuum?
,
How to compute partial trace of $U ( \rho_A \otimes \rho_B) U^+$?,Trouble with operator-sum representation of a quantum operation
,
Why doesn't the momentum of the system change after an inelastic collision?,How can momentum but not energy be conserved in an inelastic collision?
,
What are direct experimental evidences that quarks exist?,What evidence is there of the existence of quarks?
,
Does the weight of a steel ball changes when submerged in water?,Does a non-buoyant (denser than water) object (such as a lead diving weight) weigh any less when submerged in water?
,
Can a force that has magnitude of an irrational number be exerted?,Is it possible for a physical object to have a irrational length?
,
How to reduce complex combination of capacitors into simpler circuits?,What is the capacity of this circuit?
,
If there is a super massive black hole at the center of our galaxy then why is the center of our galaxy so bright?,Why don't the black holes appear black in color in images of galaxies taken from HST?
,
"What is the origin for the name ""partition function"" given to $Z = \sum e^{-\beta E_i}$?",Why is the partition function called ''partition function''?
,
If you hit the light barrier what would it look like?,Would time freeze if you could travel at the speed of light?
,
What is wrong with my Cloud Chamber? I can't see supersaturated vapor or particles,What is wrong with my setup of cloud chamber?
,
How many physical quantities could be computed in a generic Quantum Field Theory?,Is the S-Matrix the only quantum field observable?
,
steel pipe with solid core rod resistance to bending,would placing a solid rod inside a hollow pipe increase the ability to resist bending?
,
"Will a piece of ice, floating on water in a beaker, rise or fall when I add oil on top of water?",Buoyant force when object is between two liquids
,
Faraday cage for blocking cellphone and wifi signal,Why isn't a metal pot a faraday cage?
,
Why do we work path integral quantization of bosons and fermions in coherent states?,Why use coherent state path integral? What is its motivation or goal?
,
What is the solution to Newton's bucket problem?,"How does a spinning object ""know"" that it is spinning?"
,
Why is this non-linear transformation not a Lorentz transformations? It does preserve $x^2 + y^2 + z^2 - c^2t^2 = x'^2 + y'^2 + z'^2 - c^2t'^2 $,Interval preserving transformations are linear in special relativity
,
Heating a hollow disc maintaining same temperature at centre?,Will a hole cut into a metal disk expand or shrink when the disc is heated?
,
Different masses in free fall towards a massive body,Why do two bodies of different masses fall at the same rate (in the absence of air resistance)?
,
Why is Gauss's law used to compute electric field only for infinitely large objects in my physics textbook?,Why we cannot use Gauss's Law to find the Electric Field of a finite-length charged wire?
,
Why do electrons revolve around the nucleus?,"Why don't electrons crash into the nuclei they ""orbit""?"
,
Does quantum mechanics conserve information after a measurement?,Is there conservation of information during quantum measurement?
,
"Is it possible to project an image into the eye which appears to be on a focal plane above source, and is larger?",Is it (theoretically) physically possible to project an image into thin air?
,
Why does playing a string instrument at different positions along the string cause different sounds?,Why do harmonics occur when you pluck a string?
,
What is a good book for self learning in geometry and topology and physics?,Book covering differential geometry and topology for physics
,
What happens during the interaction of electromagnetic forces when two objects touch each other?,"What does it mean for two objects to ""touch""?"
,
Will two identical charges moving at the same velocity experience magnetic force due to each other?,The equivalent electric field of a magnetic field
,
"Difference between electron, muon and tau neutrinos",What is difference between the different 'flavours' of neutrinos?
